[COT 2022-9M-8D 0h:59:11] 76561198015557715: Spawned Entity Ammo .338 (TTC_Ammo_338<eb40b20>, 1, 100) at <936.120239, 454.146149, 14672.863281>
[COT 2022-9M-8D 0h:59:11] 76561198015557715: Spawned Entity Ammo .338 (TTC_Ammo_338<eb41f40>, 1, 100) at <936.120239, 454.146149, 14672.863281>
[COT 2022-9M-8D 0h:59:11] 76561198015557715: Spawned Entity Ammo .338 (TTC_Ammo_338<eb41530>, 1, 100) at <936.120239, 454.146149, 14672.863281>
[COT 2022-9M-8D 1h:1m:9s] 76561198015557715: Spawned Entity M2010 (TTC_XM2010_Base<1203ebc0>, -1, 450) at <936.120239, 454.143677, 14672.863281>
[COT 2022-9M-8D 1h:1m:10] 76561198015557715: Spawned Entity 10 round .308 magazine (TTC_XM2010_10rnd<11779a30>, 1, 100) at <936.120239, 454.143707, 14672.863281>
[COT 2022-9M-8D 1h:2m:25] 76561198015557715: Spawned Entity Ak-12 (TTC_AK12_Base<12039340>, -1, 400) at <936.120239, 454.146149, 14672.863281>
[COT 2022-9M-8D 1h:2m:53] 76561198015557715: Spawned Entity G3A3 (TTC_G3_Base<120401e0>, -1, 400) at <936.120239, 454.146149, 14672.863281>
[COT 2022-9M-8D 1h:2m:54] 76561198015557715: Spawned Entity G3A3 Magazine (TTC_G3_Magazine_20rnd<181371a0>, 1, 100) at <936.120239, 454.146149, 14672.863281>
[COT 2022-9M-8D 1h:4m:57] 76561198015557715: Spawned Entity MAK-39 (TTC_AKMod_Base<12039e50>, -1, 400) at <936.120239, 454.146149, 14672.863281>
[COT 2022-9M-8D 1h:5m:21] 76561198015557715: Spawned Entity MAK-54 (TTC_AKMod_Base<12047080>, -1, 400) at <936.120239, 454.146149, 14672.863281>
[COT 2022-9M-8D 1h:6m:42] 76561198015557715: Spawned Entity Remington Model 700 (Winchester70_Base<12043930>, -1, 450) at <936.120239, 454.146149, 14672.863281>
[COT 2022-9M-8D 1h:7m:1s] 76561198015557715: Spawned Entity M110 SASS (TTC_M110_Base<12041800>, -1, 300) at <936.120239, 454.146149, 14672.863281>
[COT 2022-9M-8D 1h:7m:28] 76561198015557715: Spawned Entity HK 417 Magazine (TTC_HK417_Magazine_20rnd<11d555e0>, 1, 100) at <967.877380, 453.886963, 14663.413086>
[COT 2022-9M-8D 1h:7m:52] 76561198015557715: Spawned Entity 20 round .308 Stanag (TTC_308Stanag<11d60b00>, 1, 100) at <967.877380, 453.899445, 14663.413086>
[COT 2022-9M-8D 1h:8m:14] 76561198015557715: Spawned Entity Mossberg Hunter (B95<12042310>, -1, 400) at <967.877380, 453.899445, 14663.413086>
[COT 2022-9M-8D 1h:8m:38] 76561198015557715: Spawned Entity AG-3 (TTC_AG3_Base<12045a60>, -1, 400) at <967.877380, 453.899445, 14663.413086>
[COT 2022-9M-8D 1h:8m:40] 76561198015557715: Spawned Entity 40 round AG-3 Magazine (TTC_AG3_Coupled_Magazine_40rnd<11c76d40>, 1, 100) at <967.877380, 453.899445, 14663.413086>
[COT 2022-9M-8D 1h:9m:23] 76561198015557715: Spawned Entity FAL (TTC_FAL_Base<12046570>, -1, 450) at <967.877380, 453.899445, 14663.413086>
[COT 2022-9M-8D 1h:9m:25] 76561198015557715: Spawned Entity 20 round FAL Magazine (TTC_FAL_Magazine<11c48eb0>, 1, 100) at <967.877380, 453.899445, 14663.413086>
[COT 2022-9M-8D 1h:10:8s] 76561198015557715: Spawned Entity AVS-36 (TTC_AVS36_Base<12042e20>, -1, 450) at <967.877380, 453.899445, 14663.413086>
[COT 2022-9M-8D 1h:11:21] 76561198015557715: Spawned Entity AVS-36 Magazine (TTC_AVS36_Mag_10rnd<e9c4710>, 1, 100) at <967.877380, 453.899445, 14663.413086>
[COT 2022-9M-8D 1h:11:54] 76561198015557715: Spawned Entity HK417 (TTC_HK417_Base<12049cc0>, -1, 450) at <972.547363, 453.844055, 14658.318359>
[COT 2022-9M-8D 1h:11:56] 76561198015557715: Spawned Entity HK416 (TTC_HK416_Base<1204df20>, -1, 450) at <972.547363, 453.844055, 14658.318359>
[COT 2022-9M-8D 1h:12:25] 76561198015557715: Spawned Entity CAR-15 (TTC_CAR15_Base<12047b90>, -1, 450) at <972.547363, 453.844055, 14658.318359>
[COT 2022-9M-8D 1h:14:44] 76561198015557715: Spawned Entity CAR-15 (TTC_CAR15_Base<1204a7d0>, -1, 450) at <979.115051, 453.821411, 14653.296875>
[COT 2022-9M-8D 1h:15:6s] 76561198015557715: Spawned Entity M1903 Springfield (TTC_M1903_base<1204b2e0>, -1, 450) at <979.115051, 453.821411, 14653.296875>
[COT 2022-9M-8D 1h:15:40] 76561198015557715: Spawned Entity Ammo .30-06 (TTC_Ammo_3006<17c3c9b0>, 1, 100) at <979.115051, 453.821411, 14653.296875>
[COT 2022-9M-8D 1h:15:41] 76561198015557715: Spawned Entity Ammo .30-06 (TTC_Ammo_3006<17c44270>, 1, 100) at <979.115051, 453.821411, 14653.296875>
[COT 2022-9M-8D 1h:16:5s] 76561198015557715: Spawned Entity Barrett MRAD (TTC_MRAD_base<12058510>, -1, 300) at <979.115051, 453.821411, 14653.296875>
[COT 2022-9M-8D 1h:16:9s] 76561198015557715: Spawned Entity 5 round .338 magazine (TTC_338mag_5rnd<1862b890>, 1, 100) at <979.115051, 453.821411, 14653.296875>
[COT 2022-9M-8D 1h:17:39] 76561198015557715: Spawned Entity SIG MCX Virtus (TTC_MCX_Base<12056ef0>, -1, 450) at <979.115051, 453.821411, 14653.296875>
[COT 2022-9M-8D 1h:18:37] 76561198015557715: Spawned Entity Magpul PRS Buttstock (TTC_Buttstock<1861b2f0>, -1, 100) at <979.155518, 453.821320, 14653.228516>
[COT 2022-9M-8D 1h:19:34] 76561198015557715: Spawned Entity M4 Buttstock (TTC_Buttstock_Morty<1861ef50>, -1, 100) at <979.155518, 453.821320, 14653.228516>
[COT 2022-9M-8D 1h:19:55] 76561198015557715: Spawned Entity Magpul Buttstock (TTC_MPXMCX1_Bttstck<17d192c0>, -1, 100) at <979.155518, 453.821320, 14653.228516>
[COT 2022-9M-8D 1h:21:7s] 76561198015557715: Spawned Entity PP-91 Kedr (TTC_PP91_Base<120542b0>, -1, 350) at <979.155518, 453.821320, 14653.228516>
[COT 2022-9M-8D 1h:21:8s] 76561198015557715: Spawned Entity PP-91 Kedr Magazine (TTC_PP91_Mag_20rnd<17d2d4c0>, 1, 100) at <979.155518, 453.821320, 14653.228516>
[COT 2022-9M-8D 1h:21:54] 76561198015557715: Spawned Entity MPA 930 SST (TTC_UZI_Base<12054dc0>, -1, 450) at <979.155518, 453.821320, 14653.228516>
[COT 2022-9M-8D 1h:21:56] 76561198015557715: Spawned Entity MPA 930 SST 30 round Mag (TTC_UZI_Mag_30rnd<17d35790>, 1, 100) at <979.155518, 453.821320, 14653.228516>
[COT 2022-9M-8D 1h:22:31] 76561198015557715: Spawned Entity SVT-40 (TTC_SVT40_Base<1205b150>, -1, 450) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:23:3s] 76561198015557715: Spawned Entity 10 round SVT-40 magazine (TTC_Mag_SVT40_10rnd<17d46740>, 1, 100) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:24:2s] 76561198015557715: Spawned Entity StG 44 (TTC_MP44_Base<1205bc60>, -1, 450) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:24:4s] 76561198015557715: Spawned Entity StG 44 Magazine (TTC_STG44_Magazine_30rnd<17d45320>, 1, 100) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:24:19] 76561198015557715: Spawned Entity BAR (TTC_BAR_Base<120558d0>, -1, 450) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:24:21] 76561198015557715: Spawned Entity BAR Magazine (TTC_BAR_Magazine_20rnd<17d49990>, 1, 100) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:24:59] 76561198015557715: Spawned Entity GEVAR 43 .338 Magazine (TTC_GEVAR43_Magazine_10rnd<17d4e000>, 1, 100) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:25:1s] 76561198015557715: Spawned Entity GEVAR 43 .338 (TTC_FD338_Base<12059020>, -1, 300) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:25:53] 76561198015557715: Spawned Entity SA80 (TTC_L85_Base<1205c770>, -1, 450) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:26:18] 76561198015557715: Spawned Entity 60 round MCOR-17 Magazine (TTC_TAVOR_Magazine_60rnd<188b9430>, 1, 100) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:26:21] 76561198015557715: Spawned Entity MCOR-17 5.56 (TTC_TAVOR_Base<120563e0>, -1, 450) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:26:44] 76561198015557715: Spawned Entity MCOR-17 5.56 DMR (TTC_TAVOR_Base<120614e0>, -1, 450) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:27:14] 76561198015557715: Spawned Entity HK416 Compact (TTC_HK416Comp_Base<12061ff0>, -1, 450) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:28:18] 76561198015557715: Spawned Entity SOCOM-MK18 (TTC_MK18_Base<12062b00>, -1, 300) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:28:48] 76561198015557715: Spawned Entity CMMG Mk47 Mutant (TTC_Mk47_Base<12063610>, -1, 350) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:29:9s] 76561198015557715: Spawned Entity M1A SOCOM (TTC_M1A_Base<1205fec0>, -1, 450) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:29:31] 76561198015557715: Spawned Entity VHS-2 (TTC_VHS_Base<1205dd90>, -1, 450) at <979.213379, 453.821167, 14653.216797>
[COT 2022-9M-8D 1h:33:57] 76561198015557715: Spawned Entity Marlin 1895 (Winchester1873_Base<12065740>, -1, 450) at <979.185547, 453.821228, 14653.221680>
[COT 2022-9M-8D 1h:46:29] 76561198015557715: Spawned Entity Ak-12 (TTC_AK12_Base<d9bdf820>, -1, 400) at <979.185547, 453.821228, 14653.221680>
[COT 2022-9M-8D 1h:46:56] 76561198015557715: Spawned Entity G3A3 (TTC_G3_Base<d9bf2de0>, -1, 400) at <979.185547, 453.821259, 14653.221680>
[COT 2022-9M-8D 1h:46:58] 76561198015557715: Spawned Entity G3A3 Magazine (TTC_G3_Magazine_20rnd<114e1ca0>, 1, 100) at <979.185547, 453.821259, 14653.221680>
[COT 2022-9M-8D 1h:50:31] 76561198015557715: Spawned Entity SIG MCX Spear (TTC_MCX_Spear_Base<6b93ff70>, -1, 450) at <979.185547, 453.821228, 14653.221680>
